query_name,taxid,scientific_name,rank,lineage,synonyms
Bacteroidaceae,815.0,Bacteroidaceae,family,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales,
Bacteroides sp. CJ78,188902.0,Bacteroides sp. CJ78,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; unclassified Bacteroides,
Bacteroides thetaiotaomicron,818.0,Bacteroides thetaiotaomicron,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,Bacillus thetaiotaomicron; Bacteroides fragilis subsp. thetaiotaomicron; Pseudobacterium thetaiotaomicron; Sphaerocillus thetaiotaomicron
Eubacteriaceae,186806.0,Eubacteriaceae,family,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales,
Eubacterium eligens,39485.0,Lachnospira eligens,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Lachnospira,Eubacterium eligens; Lachnospira eligens (Holdeman and Moore 1974) Garci?a-Lo?pez et al. 2020
Eubacterium rectale,,Eubacterium rectale,Unknown,Unknown,
Faecalibacterium,216851.0,Faecalibacterium,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae,
Human intestinal firmicute CB47,165138.0,human intestinal firmicute CB47,species,cellular organisms; Bacteria; Bacteria incertae sedis; unclassified Gram-positive bacteria,
Human intestinal firmicute CO19,165137.0,human intestinal firmicute CO19,species,cellular organisms; Bacteria; Bacteria incertae sedis; unclassified Gram-positive bacteria,
Porphyromonadaceae,171551.0,Porphyromonadaceae,family,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales,Porphyromonadaceae Krieg 2012
Rikenellaceae,171550.0,Rikenellaceae,family,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales,
Ruminococcaceae,216572.0,Oscillospiraceae,family,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales,Hungateiclostridiaceae; Ruminococcaceae
Enterococcus faecium,1352.0,Enterococcus faecium,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus,Streptococcus faecium
Aerococcus,1375.0,Aerococcus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Aerococcaceae,
Gardnerella,2701.0,Gardnerella,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae,
Lactobacillus iners,147802.0,Lactobacillus iners,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus,Lactobacillus sp. EF (Enevold Falsen) group 47
Mobiluncus,2050.0,Mobiluncus,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae,Falcivibrio
Papillibacter,100175.0,Papillibacter,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae,
Comamonadaceae,80864.0,Comamonadaceae,family,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales,beta-1 subgroup
Oxalobacteraceae,75682.0,Oxalobacteraceae,family,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales,Oxalobacteraceae Garrity et al. 2006
Sphingomonadaceae,41297.0,Sphingomonadaceae,family,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Sphingomonadales,
Pseudomonas,286.0,Pseudomonas,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae,"""Chlorobacterium"" Guillebeau 1890, nom. rejic. Opin. 6 (not ""Chlorobacterium"" Lauterborn 1916); Chryseomonas; Flavimonas; Liquidomonas; Loefflerella"
Oxalobacter formigenes,847.0,Oxalobacter formigenes,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Oxalobacter,
Tropheryma whipplei,2039.0,Tropheryma whipplei,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micrococcales; Tropherymataceae; Tropheryma,Tropheryma whippelii; Whipple's bacillus; Whipple's disease-associated bacterium
Enterococcus faecalis,1351.0,Enterococcus faecalis,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus,Enterococcus proteiformis; Enterocoque; Micrococcus ovalis; Micrococcus zymogenes; Streptococcus faecalis
Fusobacteriaceae,203492.0,Fusobacteriaceae,family,cellular organisms; Bacteria; Fusobacteriati; Fusobacteriota; Fusobacteriia; Fusobacteriales,
Lachnospira,28050.0,Lachnospira,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae,
Pasteurellaceae,712.0,Pasteurellaceae,family,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales,
Streptococcaceae,1300.0,Streptococcaceae,family,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales,
